company_name,job_title,location,salaries,description
Maple Software,Data Scientist,"Seattle, WA",,"Deep knowledge of statistics and experience applying SPSS, SaaS and other analytical tools. 4-5 years of total experience in advance data analytics out of which..."
Digital Science,Data Scientist,"Washington, DC",,"You will work closely with other team members, including customer-facing data scientists. Develop automated systems and tools for data analysis and..."
IBKR,Data Scientist,"New York, NY",,"The data scientist role will use data to help us better understand who our clients are, how they engage with our products and services and how we can better..."
Deloitte,Data Scientist - Secret,"Arlington, VA",,"The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast..."
Virgin Pulse,Data Scientist,"Minneapolis, MN",,"Experience with R, SQL and data visualization tools and techniques preferred. Access and manipulate data using SQL, R, Python in AWS databases for analytic and..."
Greenville Health System,DATA SCIENTIST,"Greenville, SC",,Develops financial and clinical data analytics and analysis based on claims (administrative) data and electronic medical records (EMR) with a focus on...
Civis Analytics,"Applied Data Engineer, ETL","Washington, DC",,"Working on data pipelines in support of data analytics or data science applications. With a blend of proprietary data, technology and advisory services, and an..."
Localytics,Data Scientist,"Boston, MA",,3-5 years of experience as a Data Scientist or Machine Learning Engineer. A Data Scientist at Localytics will help build new product capabilities with focus on...
"DESE Research, Inc.",Data Scientist,"Huntsville, AL",,"Complex modeling and data visualization skills (e.g., Tableau). Develop actionable insights from analysis to make recommendations on key project strategies...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Etech Hi,Data Scientist,"Seattle, WA","$140,000 - $200,000 a year",5-10 years of experience with predictive data analytics written in R*. Creating effective data visualizations within reports....
